"dm_id","dm_l1_name","dm_l2_name","dm_l3_name","dm_seq","dm_sort_l1","dm_sort_l2","dm_sort_l3","dm_phase","msr_id","msr_section","msr_table","msr_name","msr_data_url","msr_population_or_survey","msr_survey size","msr_min_geo_resolution","src_org","src_name","src_url","src_year_first_published","src_year_last_published","src_discontinuity","src_pub_frequency","src_pub_lag_months","src_data_provider","src_statistic_class","src_methodology_url","src_quality_url","msr_strength","dm_func_seq","dm_l1_l2_name","dm_l1_l3_name","msr_strength_l1_fix","msr_strength_l2_fix","phase_bitmap"
1,"Funders","Budget","Local authorities",0,1001,2001,3001,"supply",328.0,"Revenue Account Budget by LA","332","Physical support - adults (18–64)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
1,"Funders","Budget","Local authorities",1,1001,2001,3001,"supply",329.0,"Revenue Account Budget by LA","333","Physical support - older people (65+)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
1,"Funders","Budget","Local authorities",2,1001,2001,3001,"supply",330.0,"Revenue Account Budget by LA","334","Sensory support - adults (18–64)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
1,"Funders","Budget","Local authorities",3,1001,2001,3001,"supply",331.0,"Revenue Account Budget by LA","335","Sensory support - older people (65+)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
1,"Funders","Budget","Local authorities",4,1001,2001,3001,"supply",332.0,"Revenue Account Budget by LA","336","Support with memory and cognition - adults (18–64)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
1,"Funders","Budget","Local authorities",5,1001,2001,3001,"supply",333.0,"Revenue Account Budget by LA","337","Support with memory and cognition - older people (65+)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
1,"Funders","Budget","Local authorities",6,1001,2001,3001,"supply",334.0,"Revenue Account Budget by LA","340","Learning disability support - adults (18–64)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
1,"Funders","Budget","Local authorities",7,1001,2001,3001,"supply",335.0,"Revenue Account Budget by LA","341","Learning disability support - older people (65+)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
1,"Funders","Budget","Local authorities",8,1001,2001,3001,"supply",336.0,"Revenue Account Budget by LA","344","Mental health support - adults (18–64)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
1,"Funders","Budget","Local authorities",9,1001,2001,3001,"supply",337.0,"Revenue Account Budget by LA","345","Mental health support - older people (65+)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/853005/RA_2019-20_data_by_LA_upd.xlsx","Population","","LA","Ministry of Housing, Communities & Local Government","LA revenue expenditure and financing","https://www.gov.uk/government/collections/local-authority-revenue-expenditure-and-financing",2008.0,2019.0,"0","Annual","TBD","Ministry of Housing, Communities & Local Government","National","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/812505/Local_Authority_Revenue_Expenditure_and_Financing_2019-20_Budget__England.pdf",0.89,"1.1.01","Funders : Budget","Funders : Budget : Local authorities",0.89,0.89,"0011"
